Questions with auto-filled formulas (68):
  Q23196: 3 → 5 formulas (+2/2)
  Q23209: 1 → 2 formulas (+1/1)
  Q23314: 0 → 3 formulas (+3/3)
  Q23530: 1 → 2 formulas (+1/1)
  Q23641: 0 → 3 formulas (+3/3)
  Q23642: 0 → 3 formulas (+3/3)
  Q24569: 0 → 2 formulas (+2/2)
  Q24703: 1 → 2 formulas (+1/1)
  Q25124: 0 → 2 formulas (+2/2)
  Q25234: 1 → 2 formulas (+1/1)
  Q26366: 0 → 1 formulas (+1/1)
  Q26637: 0 → 4 formulas (+4/4)
  Q26707: 0 → 1 formulas (+1/1)
  Q26736: 0 → 1 formulas (+1/1)
  Q27082: 0 → 2 formulas (+2/2)
  Q27084: 0 → 1 formulas (+1/1)
  Q27318: 0 → 1 formulas (+1/1)
  Q28302: 0 → 4 formulas (+4/4)
  Q28477: 0 → 1 formulas (+1/1)
  Q28684: 0 → 9 formulas (+9/9)
  Q23210: 0 → 5 formulas (+5/5)
  Q23531: 0 → 1 formulas (+1/1)
  Q23955: 1 → 2 formulas (+1/1)
  Q23957: 0 → 4 formulas (+4/4)
  Q24579: 0 → 4 formulas (+4/4)
  Q24587: 0 → 5 formulas (+5/5)
  Q24771: 14 → 15 formulas (+1/1)
  Q25147: 0 → 3 formulas (+3/3)
  Q25235: 1 → 2 formulas (+1/1)
  Q25766: 8 → 13 formulas (+5/5)
  Q26183: 0 → 3 formulas (+3/3)
  Q26184: 0 → 3 formulas (+3/3)
  Q26640: 0 → 2 formulas (+2/2)
  Q27031: 0 → 7 formulas (+1/1)
  Q27092: 0 → 1 formulas (+1/1)
  Q27320: 0 → 2 formulas (+2/2)
  Q27321: 0 → 5 formulas (+5/5)
  Q27322: 0 → 2 formulas (+2/2)
  Q27408: 0 → 1 formulas (+1/1)
  Q27455: 0 → 1 formulas (+1/1)
  Q27650: 0 → 25 formulas (+1/1)
  Q28314: 0 → 2 formulas (+2/2)
  Q28340: 0 → 2 formulas (+2/2)
  Q28342: 0 → 5 formulas (+1/1)
  Q28476: 0 → 2 formulas (+2/2)
  Q28532: 0 → 1 formulas (+1/1)
  Q28534: 0 → 1 formulas (+1/1)
  Q28685: 0 → 1 formulas (+1/1)
  Q31643: 0 → 2 formulas (+2/2)
  Q32390: 0 → 2 formulas (+2/2)
  Q35170: 0 → 2 formulas (+2/2)
  Q35171: 0 → 1 formulas (+1/1)
  Q35172: 0 → 1 formulas (+1/1)
  Q36837: 0 → 1 formulas (+1/1)
  Q36838: 0 → 4 formulas (+4/4)
  Q36839: 0 → 4 formulas (+4/6)
  Q36849: 0 → 1 formulas (+1/1)
  Q36851: 0 → 2 formulas (+2/2)
  Q31148: 0 → 3 formulas (+3/3)
  Q31149: 0 → 2 formulas (+2/2)
  Q31792: 0 → 2 formulas (+2/2)
  Q33577: 1 → 2 formulas (+1/1)
  Q34565: 0 → 5 formulas (+5/5)
  Q34566: 0 → 3 formulas (+3/3)
  Q36787: 0 → 1 formulas (+1/1)
  Q36814: 0 → 1 formulas (+1/1)
  Q36815: 0 → 5 formulas (+5/5)
  Q36816: 0 → 3 formulas (+3/3)
